topic_id,název,persona,funnel,primární_cta,hlavní_keyword,otázka_1,otázka_2,otázka_3
11,"Jaké otázky má mít pulse aby byly akční (a jaké jsou k ničemu)",HR,TOFU,Otestovat 1 tým zdarma,otázky pro pulse survey,"Co dělá otázku akční?","Které typy otázek nepoužívat?","Kolik otázek je optimální?"
12,"Survey fatigue: jak poznat že přichází a jak jí předejít",HR,TOFU,Otestovat 1 tým zdarma,survey fatigue,"Jak poznat první příznaky?","Co způsobuje survey fatigue?","Jak nastavit cadenci aby nevyčerpávala?"
13,"Co je dobré skóre a proč je důležitější trend než absolutní číslo",HR,TOFU,Otestovat 1 tým zdarma,benchmark engagement skóre,"Jak interpretovat skóre?","Proč je trend důležitější?","Jak pracovat s benchmarky?"
14,"Segmentace na rovinu: tým role seniorita – jak to číst",HR,MOFU,Rezervovat demo,segmentace dat z průzkumu,"Jaké segmenty dávají smysl?","Jak číst rozdíly mezi segmenty?","Kdy je rozdíl statisticky významný?"
15,"Korelace vs kauzalita: jak nepřijmout špatné rozhodnutí na základě dat",HR,TOFU,Otestovat 1 tým zdarma,interpretace dat z průzkumu,"Co je korelace a co kauzalita?","Jaké chyby při interpretaci jsou nejčastější?","Jak ověřit zda je vztah kauzální?"
16,"Jak funguje Echo Pulse: co vidí zaměstnanec a co dostane CEO/HR",HR,BOFU,Otestovat 1 tým zdarma,echo pulse jak funguje,"Co přesně zaměstnanec vyplňuje?","Jak vypadá dashboard pro CEO?","Jak se liší pohled HR a manažera?"
17,"Výsledky vidíte okamžitě – co to znamená první den a první týden",CEO,BOFU,Otestovat 1 tým zdarma,echo pulse první výsledky,"Co uvidím první den?","Kdy mám stabilní data?","Jak s prvními výsledky pracovat?"
18,"Jak z pulzu udělat akční meeting: agenda pro leadership review",HR,MOFU,Rezervovat demo,meeting po pulse survey,"Jaká je ideální agenda?","Jak zapojit leadership?","Jak zajistit že se něco změní?"
19,"Nejčastější chyby při pulzu a jak se jim vyhnout",HR,MOFU,Otestovat 1 tým zdarma,chyby při pulse survey,"Jaké chyby firmy dělají nejčastěji?","Jak jim předejít?","Jak poznat že děláte pulse špatně?"
20,"Pilot na 1 tým: jak ho nastavit co je úspěch a kdy škálovat",CEO,BOFU,Otestovat 1 tým zdarma,pilot pulse survey,"Jak vybrat pilotní tým?","Co měřit během pilotu?","Kdy je pilot úspěšný?"
21,"Je to opravdu anonymní? Co přesně vidí HR CEO a manažer",HR,BOFU,Otestovat 1 tým zdarma,anonymita echo pulse,"Co přesně vidí každá role?","Jak fungují prahy anonymity?","Je to v souladu s GDPR?"
22,"Kolik času to vezme lidem a firmě (reálně v minutách)",CEO,BOFU,Otestovat 1 tým zdarma,čas na pulse survey,"Kolik minut zabere vyplnění?","Kolik času zabere administrace?","Jaký je celkový čas na kolo?"
23,"Co když vyjdou špatné výsledky: krizový protokol bez paniky",HR,MOFU,Rezervovat demo,špatné výsledky průzkumu,"Jak reagovat na špatná data?","Jak komunikovat výsledky týmu?","Jak z krize udělat příležitost?"
24,"Co když lidi začnou psát toxické věci: jak pracovat s ventilací",HR,MOFU,Rezervovat demo,negativní zpětná vazba zaměstnanců,"Proč lidé ventilují?","Jak odlišit ventilaci od konstruktivní kritiky?","Jak reagovat?"
25,"Proč ne Google Forms: srovnání založené na praxi",CEO,BOFU,Otestovat 1 tým zdarma,google forms vs pulse survey,"V čem se liší účast?","Jak se liší akčnost výstupů?","Jaký je celkový TCO?"
26,"Quiet quitting v českých firmách: jak ho poznat dřív než na výkonu",CEO,TOFU,Otestovat 1 tým zdarma,quiet quitting česko,"Co je quiet quitting?","Jak se projevuje v českém prostředí?","Jak ho detekovat?"
27,"Burnout není HR téma: je to riziko výkonu a kapacity",CEO,TOFU,Otestovat 1 tým zdarma,burnout prevence firma,"Proč burnout ohrožuje byznys?","Jak ho poznat včas?","Co s tím může udělat CEO?"
28,"Onboarding jako největší díra na výkon: jak měřit první 3 měsíce",CEO,TOFU,Otestovat 1 tým zdarma,onboarding měření,"Proč je onboarding kritický?","Jak měřit úspěšnost onboardingu?","Jaké signály sledovat?"
29,"Kultura = chování: jak měřit realitu bez plakátů a hodnot na zdi",CEO,TOFU,Otestovat 1 tým zdarma,firemní kultura měření,"Proč deklarované hodnoty nestačí?","Jak měřit skutečnou kulturu?","Jak na gap analýzu?"
30,"Střední management jako úzké hrdlo: co dělat když tým je OK ale výsledky nejsou",CEO,TOFU,Rezervovat demo,střední management problémy,"Proč je střední management úzké hrdlo?","Jak diagnostikovat problém?","Jak podpořit manažery v rozvoji?"
